onset	duration	block	block_type_intended	block_type_performed	response_time_avg	correct_total	errors_total	false-neg	false-pos	NR	comments
0.0	38.84	1	single	single	0.4223	18.0	0	n/a	n/a	n/a	n/a
38.69	38.87	2	array	array	0.49610000000000004	18.0	0	n/a	n/a	n/a	n/a
77.56	38.69	3	single	single	0.4422	18.0	0	n/a	n/a	n/a	n/a
116.25	38.87	4	array	array	0.5064	18.0	0	n/a	n/a	n/a	n/a
155.12	38.69	5	single	single	0.43289999999999995	18.0	0	n/a	n/a	n/a	n/a
193.81	38.87	6	array	array	0.5334	18.0	0	n/a	n/a	n/a	n/a
232.68	38.69	7	single	single	0.4535	17.0	1	n/a	1.0	n/a	n/a
271.37	38.87	8	array	array	0.5224	18.0	0	n/a	n/a	n/a	n/a
310.24	38.69	9	single	single	0.4116	18.0	0	n/a	n/a	n/a	n/a
348.93	38.87	10	array	array	0.5189	16.0	2	1.0	1.0	n/a	n/a
387.8	38.69	11	single	single	0.42960000000000004	17.0	1	n/a	1.0	n/a	n/a
426.49	38.87	12	array	array	0.5193	17.0	1	1.0	n/a	n/a	n/a
