onset	duration	block	block_type_intended	block_type_performed	response_time_avg	correct_total	errors_total	false-no_go	false-go	NR	comments
0.0	38.69	1	go	go	0.5684	18.0	0	n/a	n/a	n/a	n/a
38.69	38.69	2	no-go	no-go	0.7316	12.0	6	n/a	n/a	n/a	6 of first 7 trials had errors (both trial types) with none after, suggesting initially followed instructions backward
77.38	38.69	3	go	go	0.5822	18.0	0	n/a	n/a	n/a	n/a
116.07	38.69	4	no-go	no-go	0.7586	18.0	0	n/a	n/a	n/a	n/a
154.76	38.69	5	go	go	0.5989	17.0	1	1.0	n/a	n/a	n/a
193.45	38.69	6	no-go	no-go	0.75	17.0	1	n/a	1.0	n/a	n/a
232.14	38.69	7	go	go	0.6938	18.0	0	n/a	n/a	n/a	n/a
270.83	38.69	8	no-go	no-go	0.7394	17.0	1	n/a	1.0	n/a	n/a
309.52	38.69	9	go	go	0.6098	18.0	0	n/a	n/a	n/a	n/a
348.21	38.69	10	no-go	no-go	0.7251000000000001	18.0	0	n/a	n/a	n/a	n/a
386.9	38.69	11	go	go	0.6503	18.0	0	n/a	n/a	n/a	n/a
425.59	38.69	12	no-go	no-go	0.8202999999999999	18.0	0	n/a	n/a	n/a	n/a
