onset	duration	block	block_type_intended	block_type_performed	response_time_avg	correct_total	errors_total	false-no_go	false-go	NR	comments
0.0	38.78	1	go	go	0.5071	18.0	0	n/a	n/a	n/a	n/a
38.78	38.78	2	no-go	no-go	0.6618999999999999	18.0	0	n/a	n/a	n/a	n/a
77.56	38.78	3	go	go	0.6212000000000001	18.0	0	n/a	n/a	n/a	n/a
116.34	38.78	4	no-go	no-go	0.6103999999999999	18.0	0	n/a	n/a	n/a	n/a
155.12	38.78	5	go	go	0.5508	18.0	0	n/a	n/a	n/a	n/a
193.9	38.78	6	no-go	no-go	0.627	18.0	0	n/a	n/a	n/a	n/a
232.68	38.78	7	go	go	0.4239	18.0	0	n/a	n/a	n/a	n/a
271.46	38.78	8	no-go	no-go	0.6264	17.0	1	n/a	1.0	n/a	n/a
310.24	38.78	9	go	go	0.3907	18.0	0	n/a	n/a	n/a	n/a
349.02	38.78	10	no-go	no-go	0.4719	18.0	0	n/a	n/a	n/a	n/a
387.8	38.78	11	go	go	0.42719999999999997	18.0	0	n/a	n/a	n/a	n/a
426.58	38.78	12	no-go	no-go	0.6359	18.0	0	n/a	n/a	n/a	n/a
